Instituto Nacional de Estadística y Geografía (INEGI),,,,
"Tasa de abandono escolar por entidad federativa según nivel educativo, ciclos escolares seleccionados de 2000/2001 a 2023/2024",,,,
,,,,
Fecha de consulta: 11/04/2026 21:09:31,,,,
,,,,
Entidad federativa,Nivel educativo,2015/2016,2020/2021,2021/2022
Estados Unidos Mexicanos,Primaria,0.7,0.5,0.2
Estados Unidos Mexicanos,Secundaria,4.4,2.9,3.9
Aguascalientes,Primaria,0.2,0.7,0.4
Aguascalientes,Secundaria,5.9,3.0,4.6
Baja California,Primaria,-0.2,-0.5,-0.4
Baja California,Secundaria,4.6,1.4,2.9
Baja California Sur,Primaria,-0.3,0.0,-0.5
Baja California Sur,Secundaria,4.6,2.0,1.7
Campeche,Primaria,1.6,1.0,0.3
Campeche,Secundaria,8.2,4.6,5.3
Coahuila de Zaragoza,Primaria,0.7,0.3,0.1
Coahuila de Zaragoza,Secundaria,4.9,2.2,3.7
Colima,Primaria,0.9,0.5,1.4
Colima,Secundaria,1.0,3.3,7.3
Chiapas,Primaria,1.5,0.8,-0.1
Chiapas,Secundaria,5.7,3.9,5.1
Chihuahua,Primaria,0.2,-0.6,0.7
Chihuahua,Secundaria,6.4,1.7,5.9
Ciudad de México,Primaria,1.3,-0.2,2.5
Ciudad de México,Secundaria,-1.2,1.7,4.7
Durango,Primaria,0.9,1.2,0.8
Durango,Secundaria,6.8,4.5,4.4
Guanajuato,Primaria,0.5,0.6,0.6
Guanajuato,Secundaria,5.3,3.6,4.0
Guerrero,Primaria,2.1,0.9,0.9
Guerrero,Secundaria,6.7,3.2,4.1
Hidalgo,Primaria,-0.2,-0.1,-0.3
Hidalgo,Secundaria,2.8,2.6,2.2
Jalisco,Primaria,0.9,-0.4,1.2
Jalisco,Secundaria,5.8,2.1,4.7
México,Primaria,0.5,1.5,-0.5
México,Secundaria,2.4,2.4,1.8
Michoacán de Ocampo,Primaria,2.2,2.0,-1.1
Michoacán de Ocampo,Secundaria,9.2,8.1,5.8
Morelos,Primaria,0.7,1.0,0.6
Morelos,Secundaria,2.9,4.5,3.8
Nayarit,Primaria,0.8,0.2,-0.4
Nayarit,Secundaria,3.8,2.8,3.0
Nuevo León,Primaria,-0.4,-0.1,-0.2
Nuevo León,Secundaria,3.5,1.0,3.6
Oaxaca,Primaria,1.0,-1.5,-2.5
Oaxaca,Secundaria,4.7,6.0,10.7
Puebla,Primaria,0.4,1.1,-0.6
Puebla,Secundaria,4.5,3.3,2.8
Querétaro,Primaria,-0.4,-0.1,0.7
Querétaro,Secundaria,6.6,2.0,5.1
Quintana Roo,Primaria,-1.6,0.0,-0.1
Quintana Roo,Secundaria,4.2,0.5,3.7
San Luis Potosí,Primaria,0.6,1.0,-0.2
San Luis Potosí,Secundaria,5.1,4.1,3.3
Sinaloa,Primaria,0.7,-0.1,-0.2
Sinaloa,Secundaria,4.7,3.4,3.6
Sonora,Primaria,0.6,0.2,0.7
Sonora,Secundaria,6.8,1.1,4.3
Tabasco,Primaria,1.1,0.9,0.1
Tabasco,Secundaria,4.6,2.0,2.8
Tamaulipas,Primaria,1.0,0.2,0.0
Tamaulipas,Secundaria,5.9,2.2,2.9
Tlaxcala,Primaria,0.0,0.9,-0.5
Tlaxcala,Secundaria,3.9,2.8,1.7
Veracruz de Ignacio de la Llave,Primaria,1.4,1.4,0.3
Veracruz de Ignacio de la Llave,Secundaria,4.2,4.4,3.1
Yucatán,Primaria,0.4,-2.0,1.7
Yucatán,Secundaria,6.1,-0.9,5.0
Zacatecas,Primaria,0.7,0.8,0.3
Zacatecas,Secundaria,6.6,4.7,4.8
,,,,
,,,,
,,,,
,,,,
Unidad de medida:,,,,
Porcentaje.,,,,
,,,,
Definición:,,,,
"Es el porcentaje de alumnos que abandonan la escuela de un nivel educativo, respecto a la matrícula de inicio de cursos del mismo nivel. Es el porcentaje de alumnos que abandonan las actividades escolares durante el ciclo escolar y al finalizar éste, respecto al total de alumnos inscritos en el ciclo escolar. Cuando el indicador es positivo es probable que la deserción sólo ocurra a un grado de un ciclo determinado; en ocasiones el porcentaje puede resultar negativo, debido a que durante el ciclo escolar en estudio existieron más alumnos que se inscribieron como ''altas'' que los que enunciaron como ''bajas'' escolares. Los datos que se presentan en ceros no son absolutos, sino no significativos.",,,,
,,,,
Notas:,,,,
"El nivel educativo Media superior incluye Profesional técnico y Bachillerato; el Superior incluye licenciatura en Educación Normal, Universitaria y Tecnológica, y excluye Posgrado.",,,,
"Los indicadores están calculados por la Secretaría de Educación Pública (SEP) con base en las proyecciones de población a mitad de año del Consejo Nacional de Población (CONAPO), versión de agosto de 2023.",,,,
"El 5 de diciembre de 2025, se reemplazaron los datos del ciclo escolar 2023/2024 con cifras definitivas, ya que las anteriores eran preliminares.",,,,
,,,,
Fuente: SEP. Estadística e indicadores. Indicadores y pronósticos. Reporte de indicadores educativos. https://www.planeacion.sep.gob.mx/indicadorespronosticos.aspx (Consulta: 25 de noviembre de 2025).,,,,
