Entidad federativa,Nivel educativo,Total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,"32,614,956","16,430,576","16,184,380"
Estados Unidos Mexicanos,Inicial,"229,778","119,743","110,035"
Estados Unidos Mexicanos,Preescolar,"3,996,767","2,003,739","1,993,028"
Estados Unidos Mexicanos,Primaria,"12,838,059","6,501,947","6,336,112"
Estados Unidos Mexicanos,Secundaria,"6,293,530","3,164,785","3,128,745"
Estados Unidos Mexicanos,Media superior,"5,097,942","2,459,900","2,638,042"
Estados Unidos Mexicanos,Superior,"4,158,880","1,934,266","2,224,614"
Aguascalientes,Total,"400,470","202,942","197,528"
Aguascalientes,Inicial,"4,627","2,516","2,111"
Aguascalientes,Preescolar,"49,213","24,803","24,410"
Aguascalientes,Primaria,"157,627","79,980","77,647"
Aguascalientes,Secundaria,"75,034","37,916","37,118"
Aguascalientes,Media superior,"57,515","26,918","30,597"
Aguascalientes,Superior,"56,454","25,395","31,059"
Baja California,Total,"938,383","473,162","465,221"
Baja California,Inicial,"8,284","4,261","4,023"
Baja California,Preescolar,"90,234","44,914","45,320"
Baja California,Primaria,"370,053","186,708","183,345"
Baja California,Secundaria,"187,968","94,811","93,157"
Baja California,Media superior,"153,906","74,571","79,335"
Baja California,Superior,"127,938","59,956","67,982"
Baja California Sur,Total,"211,240","106,149","105,091"
Baja California Sur,Inicial,"2,230","1,170","1,060"
Baja California Sur,Preescolar,"24,531","12,114","12,417"
Baja California Sur,Primaria,"80,813","41,081","39,732"
Baja California Sur,Secundaria,"42,232","21,382","20,850"
Baja California Sur,Media superior,"36,958","18,121","18,837"
Baja California Sur,Superior,"24,476","11,223","13,253"
Campeche,Total,"243,432","121,529","121,903"
Campeche,Inicial,"3,267","1,646","1,621"
Campeche,Preescolar,"30,610","15,402","15,208"
Campeche,Primaria,"94,435","47,894","46,541"
Campeche,Secundaria,"45,684","23,056","22,628"
Campeche,Media superior,"36,549","18,178","18,371"
Campeche,Superior,"32,887","15,727","17,160"
Coahuila de Zaragoza,Total,"857,519","428,413","429,106"
Coahuila de Zaragoza,Inicial,"9,419","4,829","4,590"
Coahuila de Zaragoza,Preescolar,"116,391","58,539","57,852"
Coahuila de Zaragoza,Primaria,"340,092","172,701","167,391"
Coahuila de Zaragoza,Secundaria,"156,534","78,749","77,785"
Coahuila de Zaragoza,Media superior,"120,371","58,777","61,594"
Coahuila de Zaragoza,Superior,"114,712","55,511","59,201"
Colima,Total,"180,659","91,085","89,574"
Colima,Inicial,"3,678","1,901","1,777"
Colima,Preescolar,"21,279","10,838","10,441"
Colima,Primaria,"68,543","34,687","33,856"
Colima,Secundaria,"34,654","17,571","17,083"
Colima,Media superior,"30,020","14,325","15,695"
Colima,Superior,"22,485","10,252","12,233"
Chiapas,Total,"1,690,266","839,531","850,735"
Chiapas,Inicial,"5,605","2,795","2,810"
Chiapas,Preescolar,"290,166","145,523","144,643"
Chiapas,Primaria,"786,128","398,062","388,066"
Chiapas,Secundaria,"305,941","156,623","149,318"
Chiapas,Media superior,"205,797","101,969","103,828"
Chiapas,Superior,"96,629","45,763","50,866"
Chihuahua,Total,"971,236","490,288","480,948"
Chihuahua,Inicial,"8,857","4,623","4,234"
Chihuahua,Preescolar,"103,990","52,132","51,858"
Chihuahua,Primaria,"397,018","201,847","195,171"
Chihuahua,Secundaria,"184,384","92,618","91,766"
Chihuahua,Media superior,"148,052","70,177","77,875"
Chihuahua,Superior,"128,935","59,551","69,384"
Ciudad de México,Total,"2,307,198","1,156,015","1,151,183"
Ciudad de México,Inicial,"16,306","8,621","7,685"
Ciudad de México,Preescolar,"191,756","96,007","95,749"
Ciudad de México,Primaria,"687,254","348,403","338,851"
Ciudad de México,Secundaria,"400,286","201,248","199,038"
Ciudad de México,Media superior,"443,230","221,705","221,525"
Ciudad de México,Superior,"568,366","275,199","293,167"
Durango,Total,"506,766","254,437","252,329"
Durango,Inicial,"4,963","2,541","2,422"
Durango,Preescolar,"62,798","31,701","31,097"
Durango,Primaria,"207,597","105,726","101,871"
Durango,Secundaria,"98,986","49,747","49,239"
Durango,Media superior,"79,534","37,892","41,642"
Durango,Superior,"52,888","24,722","28,166"
Guanajuato,Total,"1,608,744","811,368","797,376"
Guanajuato,Inicial,"8,677","4,510","4,167"
Guanajuato,Preescolar,"217,165","108,986","108,179"
Guanajuato,Primaria,"663,553","336,792","326,761"
Guanajuato,Secundaria,"314,659","158,120","156,539"
Guanajuato,Media superior,"239,030","112,441","126,589"
Guanajuato,Superior,"165,660","76,527","89,133"
Guerrero,Total,"958,476","483,818","474,658"
Guerrero,Inicial,"3,589","1,819","1,770"
Guerrero,Preescolar,"154,135","77,881","76,254"
Guerrero,Primaria,"394,401","200,345","194,056"
Guerrero,Secundaria,"186,029","93,513","92,516"
Guerrero,Media superior,"136,865","65,498","71,367"
Guerrero,Superior,"83,457","35,602","47,855"
Hidalgo,Total,"837,146","424,492","412,654"
Hidalgo,Inicial,"4,590","2,308","2,282"
Hidalgo,Preescolar,"90,354","45,361","44,993"
Hidalgo,Primaria,"313,364","159,080","154,284"
Hidalgo,Secundaria,"169,784","85,607","84,177"
Hidalgo,Media superior,"143,289","68,536","74,753"
Hidalgo,Superior,"115,765","51,762","64,003"
Jalisco,Total,"2,168,261","1,094,833","1,073,428"
Jalisco,Inicial,"11,662","6,274","5,388"
Jalisco,Preescolar,"263,373","132,500","130,873"
Jalisco,Primaria,"874,644","444,067","430,577"
Jalisco,Secundaria,"421,418","211,214","210,204"
Jalisco,Media superior,"336,358","161,461","174,897"
Jalisco,Superior,"260,806","117,912","142,894"
México,Total,"4,015,761","2,028,213","1,987,548"
México,Inicial,"14,647","7,656","6,991"
México,Preescolar,"426,974","214,218","212,756"
México,Primaria,"1,602,778","811,524","791,254"
México,Secundaria,"832,852","418,264","414,588"
México,Media superior,"679,577","325,694","353,883"
México,Superior,"458,933","210,192","248,741"
Michoacán de Ocampo,Total,"1,228,215","625,230","602,985"
Michoacán de Ocampo,Inicial,"13,713","7,037","6,676"
Michoacán de Ocampo,Preescolar,"170,902","85,639","85,263"
Michoacán de Ocampo,Primaria,"518,416","262,597","255,819"
Michoacán de Ocampo,Secundaria,"232,718","115,235","117,483"
Michoacán de Ocampo,Media superior,"170,981","78,010","92,971"
Michoacán de Ocampo,Superior,"121,485","54,467","67,018"
Morelos,Total,"477,163","241,524","235,639"
Morelos,Inicial,"4,316","2,256","2,060"
Morelos,Preescolar,"53,739","26,956","26,783"
Morelos,Primaria,"183,616","93,360","90,256"
